source,task_type,difficulty,is_complex,prompt_complexity_score,creativity_scope,reasoning_score,constraint_ct,domain_knowledge,complexity_level,task_type_nvidia
ARC-Easy,Science QA,Easy,0,0.13691,0.0025,0.0291,0.1496,0.6848,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.1255,0.0059,0.0216,0.1982,0.5826,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.262,0.0299,0.1077,0.9124,0.5636,simple,Open QA
ARC-Easy,Science QA,Easy,0,0.16712,0.0206,0.0682,0.5706,0.3743,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.12042,0.0052,0.0127,0.353,0.145,trivial,Rewrite
ARC-Easy,Science QA,Easy,0,0.1861,0.0036,0.0286,0.3653,0.8109,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.23047,0.0604,0.108,0.5974,0.602,simple,Open QA
ARC-Easy,Science QA,Easy,0,0.34732,0.2548,0.2391,0.815,0.5002,simple,Closed QA
ARC-Easy,Science QA,Easy,0,0.16338,0.0023,0.0798,0.4471,0.4789,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.10521,0.0222,0.0129,0.1998,0.3583,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.18837,0.0126,0.0797,0.464,0.6241,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.1683,0.0061,0.1212,0.0745,0.8132,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.16231,0.0205,0.0663,0.3994,0.4283,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.19148,0.0119,0.2162,0.5375,0.3275,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.08376,0.0101,0.0403,0.1559,0.2729,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.08758,0.02,0.0707,0.2016,0.2019,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.21601,0.0154,0.0939,0.7632,0.4726,simple,Open QA
ARC-Easy,Science QA,Easy,0,0.13214,0.0009,0.0399,0.0973,0.6658,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.10135,0.0136,0.0528,0.2664,0.2272,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.36299,0.0297,0.5905,0.6748,0.6856,moderate,Closed QA
ARC-Easy,Science QA,Easy,0,0.271,0.004,0.4099,0.6774,0.4284,simple,Closed QA
ARC-Easy,Science QA,Easy,0,0.15076,0.0014,0.0257,0.5616,0.3942,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.12102,0.0006,0.0816,0.106,0.5489,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.13646,0.0406,0.0151,0.5906,0.1709,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.14704,0.0127,0.0447,0.3625,0.4605,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.09884,0.001,0.0856,0.1799,0.3173,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.21803,0.0555,0.0267,0.8606,0.4057,simple,Open QA
