source,reasoning_score,dataset,complexity_level
LiveBench-Math,0.3553,LiveBench,Medium
MMLU-high_school_physics,0.1153,Original,Simple
LiveBench-Reasoning,0.4875,LiveBench,Medium
ARC-Challenge,0.1224,Original,Simple
LiveBench-Coding,0.1123,LiveBench,Simple
GSM8K,0.8111,Original,Complex
LiveBench-Language,0.0903,LiveBench,Simple
ARC-Challenge,0.1461,Original,Simple
ARC-Easy,0.0664,Original,Simple
GSM8K,0.8149,Original,Complex
LiveBench-InstructFollow,0.0422,LiveBench,Simple
HellaSwag,0.1483,Original,Simple
LiveBench-Reasoning,0.6016,LiveBench,Complex
GSM8K,0.8145,Original,Complex
ARC-Challenge,0.0122,Original,Simple
GSM8K,0.732,Original,Complex
GSM8K,0.7363,Original,Complex
HellaSwag,0.0091,Original,Simple
GSM8K,0.8878,Original,Complex
GSM8K,0.6412,Original,Complex
LiveBench-DataAnalysis,0.0124,LiveBench,Simple
LiveBench-Math,0.4272,LiveBench,Medium
LiveBench-Math,0.3105,LiveBench,Medium
ARC-Challenge,0.0072,Original,Simple
ARC-Challenge,0.0246,Original,Simple
LiveBench-Math,0.4645,LiveBench,Medium
LiveBench-Reasoning,0.4266,LiveBench,Medium
GSM8K,0.8203,Original,Complex
HellaSwag,0.0291,Original,Simple
ARC-Easy,0.0087,Original,Simple
MMLU-formal_logic,0.3038,Original,Medium
HellaSwag,0.0107,Original,Simple
GSM8K,0.6709,Original,Complex
MMLU-logical_fallacies,0.0168,Original,Simple
ARC-Challenge,0.0107,Original,Simple
ARC-Challenge,0.1088,Original,Simple
LiveBench-Language,0.0857,LiveBench,Simple
HellaSwag,0.0165,Original,Simple
ARC-Easy,0.0147,Original,Simple
LiveBench-DataAnalysis,0.0317,LiveBench,Simple
LiveBench-DataAnalysis,0.0608,LiveBench,Simple
ARC-Challenge,0.019,Original,Simple
LiveBench-Reasoning,0.6699,LiveBench,Complex
GSM8K,0.8125,Original,Complex
GSM8K,0.868,Original,Complex
MMLU-philosophy,0.0784,Original,Simple
LiveBench-DataAnalysis,0.0385,LiveBench,Simple
MMLU-logical_fallacies,0.0117,Original,Simple
LiveBench-Language,0.0914,LiveBench,Simple
LiveBench-Math,0.4333,LiveBench,Medium
GSM8K,0.7084,Original,Complex
LiveBench-Math,0.3322,LiveBench,Medium
LiveBench-Math,0.3831,LiveBench,Medium
ARC-Challenge,0.0729,Original,Simple
LiveBench-Reasoning,0.6083,LiveBench,Complex
GSM8K,0.8642,Original,Complex
ARC-Challenge,0.1162,Original,Simple
MMLU-college_physics,0.3034,Original,Medium
LiveBench-Coding,0.1393,LiveBench,Simple
LiveBench-Math,0.4239,LiveBench,Medium
ARC-Easy,0.0505,Original,Simple
LiveBench-InstructFollow,0.0304,LiveBench,Simple
GSM8K,0.5486,Original,Medium
LiveBench-DataAnalysis,0.0719,LiveBench,Simple
MMLU-philosophy,0.0451,Original,Simple
ARC-Challenge,0.0755,Original,Simple
GSM8K,0.8177,Original,Complex
