aa_id,name,slug,creator_name,creator_slug,intelligence_index,coding_index,math_index,mmlu_pro,gpqa,hle,livecodebench,scicode,math_500,aime,price_1m_input,price_1m_output,price_1m_blended,output_tokens_per_second,time_to_first_token_seconds,raw_data,source,has_benchmarks,data_source,id,display_name,input_cost_per_m,output_cost_per_m,api_provider,openrouter_id,hallucination_rate,hallucination_source,hallucination_note,factual_consistency_rate,hallucination_answer_rate,hallucination_source_url,vectara_model_name,math_500_source,math_500_source_url,reasoning_score,reasoning_score_benchmarks,reasoning_score_method,reasoning_score_zscore,reasoning_score_sd,reasoning_score_hdi_2.5,reasoning_score_hdi_97.5,humaneval_score,humaneval_source,mbpp_score,mbpp_source,humaneval_source_url,mbpp_source_url,ccs,ccs_sd,ccs_100,ccs_method,mixeval_score,mixeval_hard_score,arena_rank_overall,arena_rank_expert,arena_rank_hard,arena_rank_coding,arena_rank_math,arena_rank_creative,arena_rank_instruction,arena_rank_longer,cfs,cfs_sd,cfs_100,cfs_method,css,css_sd,css_100,css_method,general_quality,general_quality_source,summedits_score,summedits_ci_lower,summedits_ci_upper,summedits_num_domains,crs,crs_sd,crs_100,crs_method,tau2,terminalbench_hard,swebench_verified,swebench_score_type,swebench_source,swebench_source_url,swebench_notes,cae,cae_sd,cae_100,cae_method,original_name,swebench_lite,refusal_rate,measured_ttft_seconds,context_length,context_window_k,archetype,arena_elo,openlm_organization,openlm_license,api_model_id,summedits_billsum,summedits_ectsum,summedits_news,summedits_podcast,summedits_qmsumm,summedits_sales_call,summedits_sales_email,summedits_samsum,summedits_scitldr,summedits_shakespeare,ifbench,aime_25,lcr,organization,license,arena_rank,ranking_date,math_500_note,bbh_score,gpqa_score_hf,mmlu_pro_score_hf,math_lvl5_score,arena_elo_text,quality_score,terminalbench_hard_imputed,lcr_imputed,ifbench_imputed
033e4aa9-a556-4224-87b0-341ed1070257,Claude 3.5 Haiku,claude-3-5-haiku,Anthropic,anthropic,20.2,,,0.634,0.408,0.035,0.314,0.274,0.721,0.033,0.8,4.0,1.6,49.071,0.786,"{'id': '033e4aa9-a556-4224-87b0-341ed1070257', 'name': 'Claude 3.5 Haiku', 'slug': 'claude-3-5-haiku', 'release_date': '2024-10-22', 'model_creator': {'id': 'f0aa413f-e8ae-4fcd-9c48-0e049f4f3128', 'name': 'Anthropic', 'slug': 'anthropic'}, 'evaluations': {'artificial_analysis_intelligence_index': 20.2, 'artificial_analysis_coding_index': None, 'artificial_analysis_math_index': None, 'mmlu_pro': 0.634, 'gpqa': 0.408, 'hle': 0.035, 'livecodebench': 0.314, 'scicode': 0.274, 'math_500': 0.721, 'aime': 0.033, 'aime_25': None, 'ifbench': None, 'lcr': None, 'terminalbench_hard': None, 'tau2': None}, 'pricing': {'price_1m_blended_3_to_1': 1.6, 'price_1m_input_tokens': 0.8, 'price_1m_output_tokens': 4}, 'median_output_tokens_per_second': 49.071, 'median_time_to_first_token_seconds': 0.786, 'median_time_to_first_answer_token': 0.786}",artificial_analysis_api,True,artificial_analysis,033e4aa9-a556-4224-87b0-341ed1070257,Claude 3.5 Haiku,0.8,4.0,anthropic,anthropic/claude-3.5-haiku,4.9,vectara_leaderboard_old_dataset,From Vectara HHEM-2.3 old dataset (Anthropic Claude-3-5-haiku),95.1,100.0,https://github.com/vectara/hallucination-leaderboard/tree/hhem-2.3-old-dataset,Anthropic Claude-3-5-haiku,langdb_ai,https://langdb.ai/app/models/benchmarks,14.61,0,bayesian_latent_factor,-0.946,0.237,0.5,27.84,88.1,Anthropic Model Card,85.0,Anthropic Model Card,https://www.anthropic.com/news/3-5-models-and-computer-use,https://www.anthropic.com/news/3-5-models-and-computer-use,-0.698,0.173,29.4,bayesian,67.0,51.0,124.0,115.0,112.0,104.0,141.0,115.0,124.0,107.0,-0.621,0.234,49.2,bayesian,0.302,0.85,90.7,bayesian,18.0,combined,82.97,78.35,87.58,10,-1.051,0.26,18.1,bayesian,,0.05417877574806822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2893993232041309,,0.20594557116249346,,,,,,,,,,,,True,True,True
076f2674-bc4b-4925-be59-50832eb8c090,o3-mini (high),o3-mini-high,OpenAI,openai,50.8,42.1,,0.802,0.773,0.123,0.734,0.398,0.985,0.86,1.1,4.4,1.925,130.203,64.084,"{'id': '076f2674-bc4b-4925-be59-50832eb8c090', 'name': 'o3-mini (high)', 'slug': 'o3-mini-high', 'release_date': '2025-01-31', 'model_creator': {'id': 'e67e56e3-15cd-43db-b679-da4660a69f41', 'name': 'OpenAI', 'slug': 'openai'}, 'evaluations': {'artificial_analysis_intelligence_index': 50.8, 'artificial_analysis_coding_index': 42.1, 'artificial_analysis_math_index': None, 'mmlu_pro': 0.802, 'gpqa': 0.773, 'hle': 0.123, 'livecodebench': 0.734, 'scicode': 0.398, 'math_500': 0.985, 'aime': 0.86, 'aime_25': None, 'ifbench': None, 'lcr': None, 'terminalbench_hard': None, 'tau2': 0.313}, 'pricing': {'price_1m_blended_3_to_1': 1.925, 'price_1m_input_tokens': 1.1, 'price_1m_output_tokens': 4.4}, 'median_output_tokens_per_second': 130.203, 'median_time_to_first_token_seconds': 64.084, 'median_time_to_first_answer_token': 64.084}",artificial_analysis_api,True,artificial_analysis,076f2674-bc4b-4925-be59-50832eb8c090,o3-mini (high),1.1,4.4,openai,openai/o3-mini-high,0.8,vectara_leaderboard_old_dataset,From Vectara HHEM-2.3 old dataset (OpenAI o3-mini-high),99.2,100.0,https://github.com/vectara/hallucination-leaderboard/tree/hhem-2.3-old-dataset,OpenAI o3-mini-high,artificial_analysis,https://artificialanalysis.ai,78.6,0,bayesian_latent_factor,1.249,0.238,65.48,92.74,92.6,OpenAI o3-mini,91.0,OpenAI o3-mini,https://openai.com/index/deliberative-alignment/,https://openai.com/index/deliberative-alignment/,0.939,0.166,70.8,bayesian,71.08433734939759,55.73770491803278,94.0,85.0,89.0,77.0,73.0,110.0,90.0,92.0,0.804,0.242,84.1,bayesian,0.453,0.871,99.0,bayesian,42.85,combined,85.44,72.94,98.22,10,1.12,0.256,79.8,bayesian,0.313,0.22497090752235072,69.1,agent,OpenAI o3 announcement,https://openai.com/index/deliberative-alignment/,With agent tools,-0.233,0.429,27.0,bayesian,,,,,,,,,,,,,,,,,,,,,,0.5001595434950159,,0.4043139456963827,,,,,,,,,,,,True,True,True
0a603978-03b9-4f47-a273-2f7fd969be85,Claude 3.5 Sonnet,claude-35-sonnet,Anthropic,anthropic,29.9,30.2,,0.772,0.599,0.039,0.381,0.366,0.771,0.157,3.0,15.0,6.0,0.0,0.0,"{'id': '0a603978-03b9-4f47-a273-2f7fd969be85', 'name': ""Claude 3.5 Sonnet (Oct '24)"", 'slug': 'claude-35-sonnet', 'release_date': '2024-10-22', 'model_creator': {'id': 'f0aa413f-e8ae-4fcd-9c48-0e049f4f3128', 'name': 'Anthropic', 'slug': 'anthropic'}, 'evaluations': {'artificial_analysis_intelligence_index': 29.9, 'artificial_analysis_coding_index': 30.2, 'artificial_analysis_math_index': None, 'mmlu_pro': 0.772, 'gpqa': 0.599, 'hle': 0.039, 'livecodebench': 0.381, 'scicode': 0.366, 'math_500': 0.771, 'aime': 0.157, 'aime_25': None, 'ifbench': None, 'lcr': None, 'terminalbench_hard': None, 'tau2': None}, 'pricing': {'price_1m_blended_3_to_1': 6, 'price_1m_input_tokens': 3, 'price_1m_output_tokens': 15}, 'median_output_tokens_per_second': 0, 'median_time_to_first_token_seconds': 0, 'median_time_to_first_answer_token': 0}",artificial_analysis_api,True,artificial_analysis,0a603978-03b9-4f47-a273-2f7fd969be85,Claude 3.5 Sonnet (Oct '24),3.0,15.0,anthropic,anthropic/claude-3.5-sonnet,4.6,vectara_leaderboard_old_dataset,From Vectara HHEM-2.3 old dataset (Anthropic Claude-3-5-sonnet),95.4,100.0,https://github.com/vectara/hallucination-leaderboard/tree/hhem-2.3-old-dataset,Anthropic Claude-3-5-sonnet,langdb_ai,https://langdb.ai/app/models/benchmarks,27.9,0,bayesian_latent_factor,-0.49,0.237,14.72,41.43,92.0,Anthropic Model Card,88.7,Anthropic Model Card,https://www.anthropic.com/news/claude-3-5-sonnet,https://www.anthropic.com/news/claude-3-5-sonnet,-0.19,0.161,42.2,bayesian,71.0,63.0,76.0,83.0,71.0,61.0,98.0,59.0,70.0,62.0,0.299,0.21,71.7,bayesian,0.33,0.848,92.2,bayesian,43.84,combined,84.23,80.43,88.02,10,-0.536,0.26,32.7,bayesian,,0.08142418724539426,50.8,agentless,Agentless paper (ACL 2025),https://aclanthology.org/2025.acl-long.559.pdf,With Agentless framework,0.84,0.5,64.0,weighted_zscore_fallback,Claude 3.5 Sonnet (Oct '24),40.7,,,,,,,,,,,,,,,,,,,,0.35620893551856175,,0.3688910216724739,,,,,,,,,,,,True,True,True
0a7dda4d-cc9c-4a90-abc1-abb5772c901b,DeepSeek V3.1 Terminus (Reasoning),deepseek-v3-1-terminus-reasoning,DeepSeek,deepseek,57.7,49.6,89.7,0.851,0.792,0.152,0.798,0.406,0.943,,0.4,2.0,0.8,0.0,0.0,"{'id': '0a7dda4d-cc9c-4a90-abc1-abb5772c901b', 'name': 'DeepSeek V3.1 Terminus (Reasoning)', 'slug': 'deepseek-v3-1-terminus-reasoning', 'release_date': '2025-09-22', 'model_creator': {'id': '58b835bf-4c87-4f87-a846-df4b692c6e7d', 'name': 'DeepSeek', 'slug': 'deepseek'}, 'evaluations': {'artificial_analysis_intelligence_index': 57.7, 'artificial_analysis_coding_index': 49.6, 'artificial_analysis_math_index': 89.7, 'mmlu_pro': 0.851, 'gpqa': 0.792, 'hle': 0.152, 'livecodebench': 0.798, 'scicode': 0.406, 'math_500': None, 'aime': None, 'aime_25': 0.897, 'ifbench': 0.57, 'lcr': 0.65, 'terminalbench_hard': 0.284, 'tau2': 0.371}, 'pricing': {'price_1m_blended_3_to_1': 0.8, 'price_1m_input_tokens': 0.4, 'price_1m_output_tokens': 2}, 'median_output_tokens_per_second': 0, 'median_time_to_first_token_seconds': 0, 'median_time_to_first_answer_token': 0}",artificial_analysis_api,True,artificial_analysis,0a7dda4d-cc9c-4a90-abc1-abb5772c901b,DeepSeek V3.1 Terminus (Reasoning),0.4,2.0,together,deepseek/deepseek-v3.1-terminus,6.1,vectara_leaderboard,,93.9,97.5,,deepseek-ai/DeepSeek-V3.1,datasumi,https://en.datasumi.com/deepseek-v31-an-architectural-and-competitive-analysis,83.88,0,bayesian_latent_factor,1.43,0.264,68.28,98.54,91.6,DeepSeek V3 Paper,88.5,DeepSeek V3 Paper,https://arxiv.org/abs/2412.19437,https://arxiv.org/abs/2412.19437,1.28,0.176,79.5,bayesian,77.0,75.0,85.0,95.0,108.0,97.0,112.0,71.0,91.0,80.0,1.019,0.219,89.4,bayesian,0.294,0.826,90.3,bayesian,49.49,combined,83.58,78.88,88.29,10,1.302,0.259,85.0,bayesian,0.371,0.284,42.0,agentless,DeepSeek V3 paper,https://arxiv.org/abs/2412.19437,With Agentless framework,0.671,0.535,52.8,bayesian,,34.8,2.5,0.4405,131072.0,131.0,Reasoning Specialist,1418.0,DeepSeek,MIT,deepseek-ai/DeepSeek-R1,78.65553121577219,75.44396815676669,84.49306551889049,85.49407114624505,90.28213166144201,92.76960784313727,76.00883652430043,79.99429223744292,80.02873563218391,92.66666666666667,0.57,0.897,0.65,,,,,,,,,,,,False,False,False
0e34f05c-387e-4968-be15-ccec4a55d8c1,DeepSeek R1,deepseek-r1-0120,DeepSeek,deepseek,43.8,34.4,68.0,0.844,0.708,0.093,0.617,0.357,0.966,0.683,1.35,4.0,2.362,0.0,0.0,"{'id': '0e34f05c-387e-4968-be15-ccec4a55d8c1', 'name': ""DeepSeek R1 (Jan '25)"", 'slug': 'deepseek-r1-0120', 'release_date': '2025-01-20', 'model_creator': {'id': '58b835bf-4c87-4f87-a846-df4b692c6e7d', 'name': 'DeepSeek', 'slug': 'deepseek'}, 'evaluations': {'artificial_analysis_intelligence_index': 43.8, 'artificial_analysis_coding_index': 34.4, 'artificial_analysis_math_index': 68, 'mmlu_pro': 0.844, 'gpqa': 0.708, 'hle': 0.093, 'livecodebench': 0.617, 'scicode': 0.357, 'math_500': 0.966, 'aime': 0.683, 'aime_25': 0.68, 'ifbench': 0.39, 'lcr': 0.523, 'terminalbench_hard': 0.057, 'tau2': 0.114}, 'pricing': {'price_1m_blended_3_to_1': 2.362, 'price_1m_input_tokens': 1.35, 'price_1m_output_tokens': 4}, 'median_output_tokens_per_second': 0, 'median_time_to_first_token_seconds': 0, 'median_time_to_first_answer_token': 0}",artificial_analysis_api,True,artificial_analysis,0e34f05c-387e-4968-be15-ccec4a55d8c1,DeepSeek R1 (Jan '25),1.35,4.0,together,deepseek/deepseek-r1,11.3,vectara_leaderboard,,88.7,97.0,,deepseek-ai/DeepSeek-R1,artificial_analysis,https://artificialanalysis.ai,66.88,0,bayesian_latent_factor,0.847,0.195,55.8,78.25,92.6,DeepSeek R1 Paper,90.0,DeepSeek R1 Paper,https://arxiv.org/abs/2501.12948,https://arxiv.org/abs/2501.12948,0.548,0.157,60.9,bayesian,76.84210526315789,78.88888888888889,56.0,63.0,54.0,51.0,43.0,54.0,49.0,58.0,0.803,0.203,84.1,bayesian,-0.219,0.872,62.3,bayesian,58.1,combined,71.92,64.41,79.43,10,0.737,0.209,68.9,bayesian,0.114,0.057,49.2,agentless,DeepSeek R1 paper,https://arxiv.org/abs/2501.12948,With reasoning capabilities,-0.783,0.325,11.3,bayesian,DeepSeek R1 (Jan '25),,3.0,0.6053,163840.0,163.0,Reasoning Specialist,1111.0,DeepSeek,MIT,deepseek-ai/DeepSeek-R1,68.83116883116884,72.33695652173913,80.10933557611438,77.29729729729729,56.71296296296296,86.45833333333333,58.875,76.10526315789474,59.94318181818181,82.53911806543385,0.39,0.68,0.523,DeepSeek,DeepSeek,212.0,2025-12-02,,,,,,,,False,False,False
13358187-4584-479c-ab43-5bcdf8f297a4,Claude 3.7 Sonnet (Reasoning),claude-3-7-sonnet-thinking,Anthropic,anthropic,49.9,35.8,56.3,0.837,0.772,0.103,0.473,0.403,0.947,0.487,3.0,15.0,6.0,0.0,0.0,"{'id': '13358187-4584-479c-ab43-5bcdf8f297a4', 'name': 'Claude 3.7 Sonnet (Reasoning)', 'slug': 'claude-3-7-sonnet-thinking', 'release_date': '2025-02-24', 'model_creator': {'id': 'f0aa413f-e8ae-4fcd-9c48-0e049f4f3128', 'name': 'Anthropic', 'slug': 'anthropic'}, 'evaluations': {'artificial_analysis_intelligence_index': 49.9, 'artificial_analysis_coding_index': 35.8, 'artificial_analysis_math_index': 56.3, 'mmlu_pro': 0.837, 'gpqa': 0.772, 'hle': 0.103, 'livecodebench': 0.473, 'scicode': 0.403, 'math_500': 0.947, 'aime': 0.487, 'aime_25': 0.563, 'ifbench': 0.483, 'lcr': 0.607, 'terminalbench_hard': 0.199, 'tau2': 0.547}, 'pricing': {'price_1m_blended_3_to_1': 6, 'price_1m_input_tokens': 3, 'price_1m_output_tokens': 15}, 'median_output_tokens_per_second': 0, 'median_time_to_first_token_seconds': 0, 'median_time_to_first_answer_token': 0}",artificial_analysis_api,True,artificial_analysis,13358187-4584-479c-ab43-5bcdf8f297a4,Claude 3.7 Sonnet (Reasoning),3.0,15.0,anthropic,anthropic/claude-3.7-sonnet:thinking,62.5,Kaggle SimpleQA,SimpleQA Correctness,,,,,artificial_analysis_estimated,https://artificialanalysis.ai,57.06,0,bayesian_latent_factor,0.51,0.199,46.3,68.86,93.5,Anthropic Claude 3.7,90.2,Anthropic Claude 3.7,https://www.anthropic.com/news/claude-3-7-sonnet,https://www.anthropic.com/news/claude-3-7-sonnet,0.748,0.166,66.0,bayesian,74.0,69.0,65.0,48.0,58.0,45.0,74.0,36.0,36.0,31.0,0.923,0.209,87.1,bayesian,-0.417,1.042,51.5,bayesian,56.06,combined,82.71,64.07,93.14,10,0.451,0.217,60.8,bayesian,0.547,0.199,62.3,agent,Official Anthropic announcement,https://www.anthropic.com/news/claude-3-7-sonnet,With computer use tools,0.642,0.267,51.9,bayesian,,,,,,,,,,,,,,,,,,,,,,0.483,0.563,0.607,,,,,No official MATH-500 score published by Anthropic,,,,,,,False,False,False
16c5b637-8bce-4252-81f2-1b87a36a4e4c,o3,o3,OpenAI,openai,65.5,52.2,88.3,0.853,0.827,0.2,0.808,0.41,0.992,0.903,2.0,8.0,3.5,198.751,13.206,"{'id': '16c5b637-8bce-4252-81f2-1b87a36a4e4c', 'name': 'o3', 'slug': 'o3', 'release_date': '2025-04-16', 'model_creator': {'id': 'e67e56e3-15cd-43db-b679-da4660a69f41', 'name': 'OpenAI', 'slug': 'openai'}, 'evaluations': {'artificial_analysis_intelligence_index': 65.5, 'artificial_analysis_coding_index': 52.2, 'artificial_analysis_math_index': 88.3, 'mmlu_pro': 0.853, 'gpqa': 0.827, 'hle': 0.2, 'livecodebench': 0.808, 'scicode': 0.41, 'math_500': 0.992, 'aime': 0.903, 'aime_25': 0.883, 'ifbench': 0.714, 'lcr': 0.693, 'terminalbench_hard': 0.348, 'tau2': 0.807}, 'pricing': {'price_1m_blended_3_to_1': 3.5, 'price_1m_input_tokens': 2, 'price_1m_output_tokens': 8}, 'median_output_tokens_per_second': 198.751, 'median_time_to_first_token_seconds': 13.206, 'median_time_to_first_answer_token': 13.206}",artificial_analysis_api,True,artificial_analysis,16c5b637-8bce-4252-81f2-1b87a36a4e4c,o3,2.0,8.0,openai,openai/o3,23.3,vectara_leaderboard,,76.7,100.0,,openai/o3-pro,artificial_analysis,https://artificialanalysis.ai,86.06,0,bayesian_latent_factor,1.505,0.211,73.35,97.52,92.6,OpenAI o3-mini,91.0,OpenAI o3-mini,https://openai.com/index/deliberative-alignment/,https://openai.com/index/deliberative-alignment/,1.622,0.188,88.2,bayesian,74.44444444444444,68.18181818181817,16.0,18.0,26.0,34.0,6.0,40.0,43.0,49.0,1.11,0.237,91.7,bayesian,-0.242,0.854,61.0,bayesian,84.46,combined,75.12,62.55,87.69,10,1.391,0.225,87.5,bayesian,0.807,0.348,69.1,agent,OpenAI o3 announcement,https://openai.com/index/deliberative-alignment/,With agent tools,1.769,0.302,84.1,bayesian,,,0.0,0.3193,200000.0,200.0,Reasoning Specialist,1103.0,,,,,,50.0,,,,,,,,0.714,0.883,0.693,OpenAI,Apache-2.0,216.0,2025-12-02,,,,,,,,False,False,False
198b717f-42c8-4ab7-a699-ae9373d669d3,DeepSeek V3.1 (Reasoning),deepseek-v3-1-reasoning,DeepSeek,deepseek,54.0,47.2,89.7,0.851,0.779,0.13,0.784,0.391,0.943,,0.425,1.34,0.654,0.0,0.0,"{'id': '198b717f-42c8-4ab7-a699-ae9373d669d3', 'name': 'DeepSeek V3.1 (Reasoning)', 'slug': 'deepseek-v3-1-reasoning', 'release_date': '2025-08-21', 'model_creator': {'id': '58b835bf-4c87-4f87-a846-df4b692c6e7d', 'name': 'DeepSeek', 'slug': 'deepseek'}, 'evaluations': {'artificial_analysis_intelligence_index': 54, 'artificial_analysis_coding_index': 47.2, 'artificial_analysis_math_index': 89.7, 'mmlu_pro': 0.851, 'gpqa': 0.779, 'hle': 0.13, 'livecodebench': 0.784, 'scicode': 0.391, 'math_500': None, 'aime': None, 'aime_25': 0.897, 'ifbench': 0.415, 'lcr': 0.533, 'terminalbench_hard': 0.241, 'tau2': 0.374}, 'pricing': {'price_1m_blended_3_to_1': 0.654, 'price_1m_input_tokens': 0.425, 'price_1m_output_tokens': 1.34}, 'median_output_tokens_per_second': 0, 'median_time_to_first_token_seconds': 0, 'median_time_to_first_answer_token': 0}",artificial_analysis_api,True,artificial_analysis,198b717f-42c8-4ab7-a699-ae9373d669d3,DeepSeek V3.1 (Reasoning),0.425,1.34,together,deepseek/deepseek-chat-v3.1,6.1,vectara_leaderboard,,93.9,97.5,,deepseek-ai/DeepSeek-V3.1,datasumi,https://en.datasumi.com/deepseek-v31-an-architectural-and-competitive-analysis,82.62,0,bayesian_latent_factor,1.387,0.261,67.96,97.46,91.6,DeepSeek V3 Paper,88.5,DeepSeek V3 Paper,https://arxiv.org/abs/2412.19437,https://arxiv.org/abs/2412.19437,1.102,0.174,75.0,bayesian,77.0,73.0,35.0,33.0,30.0,37.0,26.0,19.0,18.0,14.0,0.99,0.209,88.7,bayesian,0.271,0.841,89.0,bayesian,71.51,combined,83.28,78.71,87.84,10,1.255,0.258,83.7,bayesian,0.374,0.241,42.0,agentless,DeepSeek V3 paper,https://arxiv.org/abs/2412.19437,With Agentless framework,0.497,0.429,47.8,bayesian,,34.8,,,,,,,,,deepseek-ai/DeepSeek-R1,78.65553121577219,73.9742804654011,85.10282161645146,85.86297760210803,87.64890282131661,93.39460784313725,78.8659793814433,76.86929223744292,81.23973727422002,91.17412935323384,0.415,0.897,0.533,,,,,,,,,,,,False,False,False
1a8ba535-df18-459b-ad40-3199191296d7,Llama 3.3 Nemotron Super 49B v1 (Reasoning),llama-3-3-nemotron-super-49b-reasoning,NVIDIA,nvidia,35.5,18.7,54.7,0.785,0.643,0.065,0.277,0.282,0.959,0.583,0.0,0.0,0.0,0.0,0.0,"{'id': '1a8ba535-df18-459b-ad40-3199191296d7', 'name': 'Llama 3.3 Nemotron Super 49B v1 (Reasoning)', 'slug': 'llama-3-3-nemotron-super-49b-reasoning', 'release_date': '2025-03-18', 'model_creator': {'id': '0c303112-430d-4367-a484-51defaa2e166', 'name': 'NVIDIA', 'slug': 'nvidia'}, 'evaluations': {'artificial_analysis_intelligence_index': 35.5, 'artificial_analysis_coding_index': 18.7, 'artificial_analysis_math_index': 54.7, 'mmlu_pro': 0.785, 'gpqa': 0.643, 'hle': 0.065, 'livecodebench': 0.277, 'scicode': 0.282, 'math_500': 0.959, 'aime': 0.583, 'aime_25': 0.547, 'ifbench': 0.381, 'lcr': 0.17, 'terminalbench_hard': 0, 'tau2': None}, 'pricing': {'price_1m_blended_3_to_1': 0, 'price_1m_input_tokens': 0, 'price_1m_output_tokens': 0}, 'median_output_tokens_per_second': 0, 'median_time_to_first_token_seconds': 0, 'median_time_to_first_answer_token': 0}",artificial_analysis_api,True,artificial_analysis,1a8ba535-df18-459b-ad40-3199191296d7,Llama 3.3 Nemotron Super 49B v1 (Reasoning),0.0,0.0,,nvidia/llama-3.3-nemotron-super-49b-v1.5,76.0,Voronoi 2025,Hallucination Rate,,,,,artificial_analysis,https://artificialanalysis.ai,57.17,0,bayesian_latent_factor,0.514,0.188,46.12,67.73,,,,,,,-0.061,0.167,45.5,bayesian,74.64788732394366,75.80645161290323,107.0,80.0,99.0,88.0,66.0,106.0,107.0,106.0,0.445,0.197,75.3,bayesian,-0.795,1.023,30.8,bayesian,31.36,combined,76.88,63.1,90.65,4,0.401,0.203,59.4,bayesian,,0.0,,,,,,-0.912,0.433,7.6,bayesian,,,,,,,,,,,,,,,,,,,,,,0.381,0.547,0.17,,,,,,,,,,,,False,False,False
1cf439b8-0cfd-47b2-9de2-9a2157e6762b,GLM-4.5 (Reasoning),glm-4.5,Z AI,zai,51.3,43.3,73.7,0.835,0.782,0.122,0.738,0.348,0.979,0.873,0.575,2.195,0.98,48.374,0.77,"{'id': '1cf439b8-0cfd-47b2-9de2-9a2157e6762b', 'name': 'GLM-4.5 (Reasoning)', 'slug': 'glm-4.5', 'release_date': '2025-07-28', 'model_creator': {'id': '67437eb6-7dc1-4e93-befd-22c8b8ec2065', 'name': 'Z AI', 'slug': 'zai'}, 'evaluations': {'artificial_analysis_intelligence_index': 51.3, 'artificial_analysis_coding_index': 43.3, 'artificial_analysis_math_index': 73.7, 'mmlu_pro': 0.835, 'gpqa': 0.782, 'hle': 0.122, 'livecodebench': 0.738, 'scicode': 0.348, 'math_500': 0.979, 'aime': 0.873, 'aime_25': 0.737, 'ifbench': 0.441, 'lcr': 0.483, 'terminalbench_hard': 0.213, 'tau2': 0.43}, 'pricing': {'price_1m_blended_3_to_1': 0.98, 'price_1m_input_tokens': 0.575, 'price_1m_output_tokens': 2.195}, 'median_output_tokens_per_second': 48.374, 'median_time_to_first_token_seconds': 0.77, 'median_time_to_first_answer_token': 42.114}",artificial_analysis_api,True,artificial_analysis,1cf439b8-0cfd-47b2-9de2-9a2157e6762b,GLM-4.5 (Reasoning),0.575,2.195,,z-ai/glm-4.5,9.3,vectara_leaderboard,,90.7,98.1,,zai-org/GLM-4.5-AIR-FP8,artificial_analysis,https://artificialanalysis.ai,77.87,0,bayesian_latent_factor,1.224,0.206,66.73,90.06,75.8,Zhipu GLM-4.5,72.5,Zhipu GLM-4.5,https://zhipuai.cn/,https://zhipuai.cn/,0.924,0.162,70.5,bayesian,78.0,76.47058823529412,91.0,50.0,87.0,83.0,88.0,102.0,93.0,110.0,0.941,0.218,87.5,bayesian,-0.519,1.01,45.9,bayesian,44.42,combined,64.57,44.5,84.64,10,1.096,0.216,79.2,bayesian,0.43,0.213,,,,,,0.485,0.324,47.4,bayesian,,,,,,,,,,,,73.76779846659365,50.0,50.0,85.86297760210803,50.0,92.4142156862745,77.31958762886597,,0.0,91.01492537313433,0.441,0.737,0.483,,,,,,35.811283581208905,8.83668903803132,34.94200650118203,,,,False,False,False
