source,task,reasoning_score,creativity_score,complexity_score,is_complex,level,complexity
LiveBench-Math,olympiad,0.4272,0.0209,0.40414,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.3324,0.0139,0.37911,False,Mid (0.3-0.6),Simple
LiveBench-Math,olympiad,0.4833,0.026,0.42912,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.543,0.0292,0.43356,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.4333,0.0242,0.414,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.3888,0.026,0.40388,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.4355,0.0154,0.40453,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.3831,0.0137,0.39506,False,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.298,0.0185,0.37489,False,Low (<0.3),Simple
LiveBench-Math,olympiad,0.3553,0.025,0.38864,False,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.5444,0.013,0.44509,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.5157,0.0166,0.42078,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.3771,0.0167,0.39414,False,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.3575,0.0123,0.3855,False,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.4645,0.0145,0.41079,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.3322,0.0146,0.37842,False,Mid (0.3-0.6),Simple
LiveBench-Math,olympiad,0.381,0.0121,0.38476,False,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.4239,0.0188,0.42194,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.3842,0.0172,0.40235,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.3628,0.0246,0.39428,False,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.4698,0.0193,0.41224,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.6758,0.0357,0.46414,True,High (>0.6),Complex
LiveBench-Math,olympiad,0.3105,0.0239,0.38164,False,Mid (0.3-0.6),Simple
LiveBench-Math,olympiad,0.3831,0.0137,0.39506,False,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.298,0.0185,0.37489,False,Low (<0.3),Simple
LiveBench-Math,olympiad,0.3553,0.025,0.38864,False,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.5444,0.013,0.44509,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.5197,0.0161,0.4209,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.3771,0.0167,0.39414,False,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.4645,0.0145,0.41079,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.4239,0.0188,0.42194,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.3842,0.0172,0.40235,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.3628,0.0246,0.39428,False,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.4698,0.0193,0.41224,True,Mid (0.3-0.6),Complex
LiveBench-Math,olympiad,0.6758,0.0357,0.46414,True,High (>0.6),Complex
LiveBench-Math,olympiad,0.3105,0.0239,0.38164,False,Mid (0.3-0.6),Simple
LiveBench-Math,AMPS_Hard,0.0837,0.0467,0.31157,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.0759,0.0328,0.30482,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.0806,0.0437,0.31214,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.0767,0.0465,0.3065,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.0779,0.0424,0.30954,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.0834,0.0336,0.31064,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.0727,0.022,0.3014,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.0892,0.0288,0.30734,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.0758,0.0288,0.30716,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.0809,0.0371,0.31113,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.08,0.0601,0.32629,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.0727,0.0572,0.32462,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.0802,0.0777,0.33279,False,Low (<0.3),Simple
LiveBench-Math,AMPS_Hard,0.0772,0.0515,0.31965,False,Low (<0.3),Simple
LiveBench-Reasoning,zebra_puzzle,0.5009,0.0439,0.40054,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.4635,0.0533,0.39832,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5323,0.0452,0.41522,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.6083,0.0491,0.45834,True,High (>0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.6016,0.054,0.43822,True,High (>0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5493,0.041,0.41519,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5379,0.0492,0.41295,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.4875,0.0366,0.3913,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.4844,0.0452,0.39351,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5541,0.0434,0.41005,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5165,0.0411,0.41362,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5615,0.0407,0.40278,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5401,0.055,0.40781,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5104,0.0362,0.38952,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5102,0.0385,0.38029,False,Mid (0.3-0.6),Complex
